states_or_union_territories,district,year,murder,rape,kidnapping_and_abduction_of_women_and_girls,kidnapping_and_abduction_of_others,dacoity,robbery,thefts,riots,criminal_breach_of_trust,cheating,arson,hurt_or_grievous_hurt,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,insult_to_modesty_of_women,cruelty_by_husband_or_his_relatives,causing_death_by_negligence,total_ipc_crimes
HARYANA,MAHENDRAGARH,2014,38.0,24.0,10.0,62.0,8.0,26.0,445.0,93.0,18.0,44.0,9.0,,15.0,78.0,7.0,78.0,156.0,2262.0
HARYANA,MEWAT,2014,33.0,85.0,23.0,46.0,13.0,27.0,452.0,224.0,15.0,36.0,5.0,,5.0,86.0,1.0,106.0,139.0,2414.0
HARYANA,PALWAL,2014,52.0,49.0,23.0,74.0,9.0,53.0,844.0,243.0,34.0,55.0,6.0,,16.0,96.0,,193.0,186.0,3247.0
HARYANA,PANCHKULA,2014,14.0,36.0,18.0,127.0,7.0,73.0,357.0,,1.0,70.0,6.0,,5.0,30.0,3.0,73.0,93.0,1594.0
HARYANA,PANIPAT,2014,53.0,64.0,78.0,20.0,11.0,49.0,1207.0,110.0,40.0,73.0,11.0,,18.0,97.0,,227.0,275.0,4654.0
HARYANA,REWARI,2014,27.0,41.0,83.0,31.0,10.0,53.0,670.0,64.0,27.0,89.0,10.0,,11.0,65.0,35.0,105.0,240.0,2781.0
HARYANA,ROHTAK,2014,76.0,68.0,8.0,73.0,9.0,43.0,984.0,110.0,38.0,29.0,9.0,,16.0,98.0,,168.0,185.0,3820.0
HARYANA,SIRSA,2014,36.0,49.0,,12.0,8.0,25.0,543.0,19.0,20.0,57.0,10.0,,5.0,86.0,2.0,174.0,151.0,3482.0
HARYANA,SONIPAT,2014,110.0,60.0,62.0,21.0,9.0,54.0,940.0,10.0,22.0,120.0,16.0,,28.0,98.0,2.0,162.0,358.0,4311.0
HARYANA,YAMUNANAGAR,2014,45.0,50.0,82.0,299.0,6.0,31.0,747.0,4.0,12.0,90.0,6.0,,7.0,76.0,,170.0,157.0,3347.0
HIMACHAL PRADESH,SOLAN,2014,13.0,9.0,8.0,,,3.0,41.0,42.0,18.0,21.0,2.0,,,15.0,1.0,19.0,54.0,651.0
HIMACHAL PRADESH,BILASPUR,2014,4.0,15.0,42.0,1.0,,,39.0,36.0,2.0,20.0,10.0,,,72.0,,25.0,42.0,1185.0
HIMACHAL PRADESH,CHAMBA,2014,8.0,23.0,19.0,1.0,,1.0,31.0,38.0,2.0,14.0,10.0,,,27.0,1.0,9.0,54.0,761.0
HIMACHAL PRADESH,HIMACHAL PRADESH_GRP,2014,1.0,,,,,,1.0,,,,,,,,,,,9.0
HIMACHAL PRADESH,HAMIRPUR,2014,12.0,13.0,,,,,32.0,14.0,7.0,30.0,9.0,,,32.0,14.0,27.0,27.0,845.0
HIMACHAL PRADESH,KANGRA,2014,26.0,43.0,26.0,6.0,1.0,2.0,107.0,78.0,26.0,53.0,10.0,,,79.0,15.0,46.0,95.0,2698.0
HIMACHAL PRADESH,KINNAUR,2014,2.0,10.0,,,,1.0,11.0,6.0,4.0,2.0,,,,5.0,1.0,3.0,27.0,211.0
HIMACHAL PRADESH,KULLU,2014,9.0,16.0,,24.0,,,49.0,26.0,5.0,26.0,5.0,,,35.0,,21.0,52.0,914.0
HIMACHAL PRADESH,LAHAUL & SPITI,2014,2.0,,,,,,1.0,,,,,,,,,,7.0,84.0
HIMACHAL PRADESH,MANDI,2014,15.0,47.0,33.0,,1.0,,57.0,51.0,9.0,59.0,24.0,,,101.0,15.0,50.0,63.0,1939.0
HIMACHAL PRADESH,SHIMLA,2014,18.0,39.0,25.0,,,6.0,116.0,78.0,20.0,45.0,10.0,,,64.0,10.0,27.0,134.0,1957.0
HIMACHAL PRADESH,SIRMAUR,2014,6.0,28.0,15.0,4.0,,2.0,48.0,41.0,15.0,27.0,4.0,,,46.0,2.0,24.0,80.0,872.0
HIMACHAL PRADESH,SOLAN,2014,5.0,16.0,,14.0,1.0,,73.0,30.0,15.0,26.0,7.0,,,31.0,,12.0,61.0,947.0
HIMACHAL PRADESH,UNA,2014,9.0,23.0,7.0,5.0,1.0,1.0,46.0,38.0,6.0,64.0,6.0,,1.0,31.0,1.0,62.0,80.0,1083.0
JAMMU & KASHMIR,ANANTNAG,2014,9.0,19.0,27.0,,,,90.0,180.0,4.0,20.0,14.0,,,123.0,,9.0,29.0,1307.0
JAMMU & KASHMIR,PULWAMA,2014,9.0,6.0,19.0,,,3.0,31.0,15.0,,6.0,,,,19.0,,1.0,9.0,389.0
JAMMU & KASHMIR,BANDIPORA,2014,2.0,4.0,37.0,3.0,,1.0,34.0,65.0,,9.0,5.0,,,53.0,5.0,4.0,18.0,618.0
JAMMU & KASHMIR,BARAMULLA,2014,2.0,10.0,,28.0,,11.0,81.0,151.0,5.0,13.0,9.0,,,83.0,18.0,11.0,21.0,1110.0
JAMMU & KASHMIR,BUDGAM,2014,11.0,9.0,,48.0,,2.0,78.0,145.0,6.0,7.0,4.0,,,30.0,6.0,3.0,9.0,1026.0
JAMMU & KASHMIR,JAMMU,2014,,,,,,,,,,14.0,,,,,,,,14.0
JAMMU & KASHMIR,SRINAGAR,2014,1.0,1.0,,,,,,,,41.0,,,,,,,,43.0
JAMMU & KASHMIR,DODA,2014,3.0,23.0,,,,,44.0,3.0,7.0,13.0,5.0,,,60.0,8.0,14.0,166.0,667.0
JAMMU & KASHMIR,GANDERBAL,2014,2.0,,,20.0,1.0,,26.0,50.0,4.0,3.0,9.0,,,54.0,,3.0,17.0,473.0
JAMMU & KASHMIR,KUPWARA,2014,3.0,3.0,,24.0,,2.0,44.0,53.0,2.0,1.0,4.0,,,80.0,,2.0,8.0,562.0
JAMMU & KASHMIR,JAMMU,2014,21.0,68.0,,73.0,1.0,6.0,399.0,71.0,16.0,159.0,14.0,,4.0,81.0,52.0,159.0,143.0,4238.0
JAMMU & KASHMIR,KARGIL,2014,1.0,2.0,2.0,,,,3.0,11.0,,,,,,,,,17.0,105.0
JAMMU & KASHMIR,KATHUA,2014,13.0,18.0,,,,,69.0,39.0,8.0,18.0,11.0,,1.0,43.0,15.0,21.0,58.0,1289.0
JAMMU & KASHMIR,KISHTWAR,2014,,6.0,,,,,21.0,2.0,1.0,6.0,4.0,,,23.0,,9.0,1.0,388.0
JAMMU & KASHMIR,KULGAM,2014,4.0,7.0,,,,12.0,48.0,78.0,4.0,12.0,7.0,,,171.0,13.0,,21.0,856.0
JAMMU & KASHMIR,KUPWARA,2014,7.0,8.0,,42.0,,,34.0,159.0,4.0,7.0,4.0,,,61.0,12.0,8.0,8.0,710.0
JAMMU & KASHMIR,LEH,2014,1.0,6.0,,1.0,,,8.0,4.0,,10.0,,,,3.0,,,,166.0
JAMMU & KASHMIR,POONCH,2014,8.0,13.0,25.0,,,,30.0,85.0,3.0,10.0,12.0,,,42.0,8.0,25.0,19.0,842.0
JAMMU & KASHMIR,PULWAMA,2014,5.0,7.0,,,,5.0,20.0,63.0,1.0,6.0,2.0,,,20.0,6.0,1.0,7.0,354.0
JAMMU & KASHMIR,JAMMU,2014,1.0,,,,,,7.0,,,,,,,1.0,2.0,,,16.0
JAMMU & KASHMIR,KASHMIR,2014,,,,,,,1.0,3.0,,,,,,2.0,,,,13.0
JAMMU & KASHMIR,REASI,2014,,,,,,,1.0,,1.0,,,,,,1.0,,,6.0
JAMMU & KASHMIR,RAJOURI,2014,18.0,39.0,60.0,2.0,3.0,1.0,56.0,34.0,9.0,28.0,6.0,,,65.0,17.0,71.0,42.0,1751.0
JAMMU & KASHMIR,RAMBAN,2014,3.0,8.0,15.0,,,,41.0,2.0,2.0,7.0,2.0,,,25.0,14.0,12.0,38.0,674.0
JAMMU & KASHMIR,REASI,2014,1.0,16.0,13.0,,,,34.0,28.0,2.0,9.0,2.0,,,18.0,3.0,16.0,29.0,753.0
JAMMU & KASHMIR,SAMBA,2014,4.0,7.0,,6.0,,1.0,33.0,34.0,2.0,10.0,4.0,,,10.0,,8.0,1.0,653.0
JAMMU & KASHMIR,SHOPIAN,2014,5.0,1.0,28.0,,,6.0,49.0,74.0,2.0,2.0,3.0,,,30.0,,2.0,10.0,501.0
JAMMU & KASHMIR,BARAMULLA,2014,9.0,8.0,,40.0,,3.0,62.0,45.0,1.0,2.0,6.0,,,83.0,,7.0,4.0,634.0
JAMMU & KASHMIR,SRINAGAR,2014,5.0,12.0,,31.0,1.0,36.0,375.0,130.0,9.0,77.0,27.0,,,218.0,44.0,63.0,51.0,2533.0
JAMMU & KASHMIR,UDHAMPUR,2014,8.0,30.0,10.0,,,,54.0,3.0,3.0,7.0,5.0,,,23.0,13.0,18.0,56.0,1157.0
JHARKHAND,BOKARO,2014,43.0,63.0,97.0,,6.0,41.0,752.0,136.0,60.0,147.0,,,18.0,,,187.0,,3145.0
JHARKHAND,PASHCHIMI SINGHBHUM,2014,120.0,54.0,22.0,21.0,11.0,16.0,163.0,,1.0,43.0,4.0,,2.0,22.0,,19.0,99.0,954.0
JHARKHAND,CHATRA,2014,59.0,18.0,31.0,2.0,6.0,8.0,141.0,86.0,2.0,35.0,5.0,,62.0,19.0,8.0,24.0,44.0,1284.0
JHARKHAND,DEOGHAR,2014,43.0,25.0,63.0,,10.0,17.0,343.0,91.0,45.0,98.0,4.0,,28.0,21.0,,138.0,73.0,2300.0
JHARKHAND,DHANBAD,2014,79.0,54.0,148.0,5.0,34.0,48.0,1052.0,225.0,235.0,26.0,4.0,,28.0,54.0,,99.0,1.0,4929.0
JHARKHAND,DHANBAD,2014,13.0,,,5.0,13.0,7.0,221.0,,,6.0,,,2.0,6.0,,,,365.0
JHARKHAND,DUMKA,2014,59.0,39.0,16.0,5.0,10.0,5.0,239.0,62.0,8.0,33.0,3.0,,11.0,9.0,4.0,55.0,135.0,1592.0
JHARKHAND,GARHWA,2014,67.0,50.0,80.0,6.0,3.0,30.0,154.0,143.0,65.0,93.0,6.0,,25.0,19.0,,45.0,60.0,2582.0
JHARKHAND,GIRIDIH,2014,72.0,58.0,,91.0,20.0,35.0,284.0,199.0,23.0,145.0,1.0,,40.0,39.0,,176.0,106.0,3491.0
JHARKHAND,GODDA,2014,50.0,34.0,17.0,43.0,3.0,6.0,147.0,74.0,7.0,56.0,,,3.0,,,57.0,,1710.0
JHARKHAND,GUMLA,2014,187.0,67.0,36.0,2.0,6.0,34.0,140.0,13.0,,38.0,7.0,,1.0,15.0,,24.0,95.0,1200.0
JHARKHAND,HAZARIBAGH,2014,60.0,52.0,26.0,65.0,25.0,25.0,459.0,97.0,1.0,135.0,12.0,,23.0,50.0,,37.0,159.0,3039.0
JHARKHAND,EAST SINGHBHUM,2014,100.0,55.0,64.0,5.0,11.0,43.0,909.0,99.0,103.0,427.0,5.0,,13.0,47.0,2.0,110.0,178.0,3985.0
JHARKHAND,EAST SINGHBHUM,2014,11.0,,,,,4.0,118.0,,1.0,5.0,1.0,,,2.0,,,2.0,188.0
JHARKHAND,JAMTARA,2014,18.0,27.0,14.0,5.0,2.0,6.0,123.0,111.0,12.0,71.0,6.0,,10.0,29.0,,70.0,30.0,1032.0
JHARKHAND,KHUNTI,2014,84.0,7.0,5.0,1.0,1.0,19.0,38.0,36.0,1.0,5.0,4.0,,2.0,3.0,,11.0,41.0,419.0
JHARKHAND,KODERMA,2014,25.0,15.0,13.0,19.0,11.0,11.0,125.0,78.0,,60.0,,,16.0,,,39.0,58.0,1344.0
JHARKHAND,LATEHAR,2014,41.0,25.0,,,6.0,9.0,107.0,46.0,14.0,18.0,,,8.0,,,17.0,54.0,859.0
JHARKHAND,LOHARDAGA,2014,40.0,43.0,19.0,12.0,3.0,13.0,75.0,5.0,7.0,25.0,4.0,,2.0,5.0,,24.0,42.0,536.0
JHARKHAND,PAKUR,2014,30.0,55.0,11.0,3.0,1.0,5.0,74.0,58.0,7.0,47.0,2.0,,1.0,12.0,,91.0,68.0,839.0
JHARKHAND,PALAMU,2014,77.0,44.0,23.0,29.0,22.0,43.0,203.0,122.0,69.0,51.0,9.0,,19.0,15.0,,42.0,85.0,2556.0
JHARKHAND,RAMGARH,2014,40.0,48.0,18.0,37.0,21.0,10.0,298.0,103.0,48.0,53.0,7.0,,11.0,20.0,2.0,34.0,77.0,1488.0
JHARKHAND,RANCHI,2014,133.0,75.0,72.0,9.0,11.0,50.0,518.0,90.0,35.0,112.0,3.0,,13.0,1.0,2.0,48.0,130.0,2447.0
JHARKHAND,SAHEBGANJ,2014,72.0,87.0,40.0,25.0,3.0,9.0,116.0,69.0,,89.0,2.0,,4.0,20.0,,75.0,28.0,1522.0
JHARKHAND,SARAIKELA,2014,58.0,31.0,2.0,38.0,3.0,11.0,207.0,18.0,45.0,21.0,4.0,,7.0,27.0,,27.0,106.0,1108.0
JHARKHAND,SIMDEGA,2014,77.0,24.0,2.0,12.0,2.0,16.0,40.0,14.0,1.0,16.0,1.0,,1.0,5.0,,13.0,,421.0
KARNATAKA,BAGALKOT,2014,39.0,22.0,,25.0,1.0,17.0,161.0,208.0,5.0,91.0,12.0,,4.0,96.0,1.0,53.0,285.0,2131.0
KARNATAKA,BENGALURU,2014,241.0,104.0,11.0,60.0,51.0,1067.0,11455.0,388.0,107.0,3045.0,100.0,,57.0,680.0,57.0,490.0,885.0,31892.0
KARNATAKA,BENGALURU,2014,78.0,60.0,69.0,,25.0,145.0,667.0,248.0,32.0,318.0,13.0,,22.0,135.0,,97.0,614.0,5567.0
KARNATAKA,BELAGAVI,2014,75.0,59.0,6.0,33.0,19.0,40.0,326.0,447.0,19.0,115.0,21.0,,4.0,233.0,4.0,162.0,605.0,4851.0
KARNATAKA,BALLARI,2014,58.0,48.0,3.0,9.0,6.0,49.0,380.0,233.0,6.0,228.0,5.0,,12.0,121.0,,72.0,320.0,3304.0
KARNATAKA,BIDAR,2014,44.0,33.0,16.0,29.0,3.0,38.0,250.0,227.0,6.0,75.0,14.0,,10.0,82.0,11.0,106.0,256.0,4333.0
KARNATAKA,VIJAYAPURA,2014,64.0,45.0,2.0,14.0,4.0,48.0,151.0,276.0,4.0,68.0,37.0,,7.0,127.0,,122.0,359.0,2931.0
KARNATAKA,CHIKKABALLAPURA,2014,32.0,36.0,4.0,23.0,6.0,21.0,231.0,181.0,18.0,89.0,9.0,,10.0,106.0,8.0,26.0,221.0,2405.0
KARNATAKA,CHAMARAJANAGAR,2014,28.0,11.0,3.0,6.0,1.0,7.0,138.0,87.0,2.0,31.0,6.0,,5.0,92.0,1.0,15.0,140.0,1607.0
KARNATAKA,CHIKKAMAGALURU,2014,39.0,30.0,3.0,,10.0,34.0,215.0,97.0,10.0,86.0,9.0,,5.0,172.0,2.0,110.0,10.0,2878.0
KARNATAKA,CHITRADURGA,2014,47.0,24.0,,31.0,4.0,24.0,266.0,244.0,5.0,77.0,12.0,,17.0,241.0,5.0,77.0,360.0,3981.0
KARNATAKA,DAKSHINA KANNADA,2014,26.0,40.0,2.0,5.0,4.0,19.0,91.0,148.0,7.0,88.0,12.0,,1.0,70.0,4.0,32.0,151.0,2087.0
KARNATAKA,DAVANAGERE,2014,45.0,40.0,15.0,15.0,7.0,45.0,439.0,290.0,17.0,111.0,8.0,,9.0,211.0,2.0,87.0,267.0,3635.0
KARNATAKA,DHARWAD,2014,24.0,23.0,,,4.0,9.0,69.0,127.0,9.0,29.0,5.0,,3.0,32.0,,15.0,195.0,1219.0
KARNATAKA,GADAG,2014,12.0,15.0,,11.0,2.0,14.0,82.0,92.0,10.0,48.0,3.0,,2.0,31.0,,22.0,126.0,1109.0
KARNATAKA,GULBARGA,2014,75.0,53.0,7.0,30.0,4.0,67.0,307.0,1.0,6.0,110.0,5.0,,14.0,145.0,11.0,127.0,361.0,4448.0
KARNATAKA,HASSAN,2014,64.0,63.0,,57.0,11.0,33.0,344.0,157.0,7.0,110.0,27.0,,11.0,251.0,,103.0,409.0,5182.0
KARNATAKA,HAVERI,2014,28.0,40.0,,17.0,10.0,12.0,253.0,250.0,6.0,37.0,,,10.0,94.0,3.0,44.0,196.0,2201.0
KARNATAKA,DHARWAD,2014,20.0,21.0,2.0,34.0,4.0,72.0,321.0,109.0,24.0,130.0,4.0,,7.0,31.0,3.0,39.0,108.0,1936.0
KARNATAKA,KOLAR,2014,13.0,20.0,1.0,3.0,2.0,19.0,70.0,40.0,,64.0,5.0,,1.0,21.0,1.0,14.0,70.0,777.0
KARNATAKA,KODAGU,2014,33.0,25.0,,36.0,1.0,9.0,128.0,32.0,5.0,80.0,8.0,,1.0,60.0,5.0,40.0,63.0,1824.0
KARNATAKA,KOLAR,2014,35.0,32.0,3.0,15.0,2.0,42.0,184.0,220.0,3.0,80.0,9.0,,8.0,67.0,,21.0,234.0,2188.0
KARNATAKA,KOPPAL,2014,26.0,28.0,,31.0,5.0,12.0,188.0,175.0,4.0,111.0,4.0,,4.0,34.0,,50.0,171.0,1883.0
KARNATAKA,MANDYA,2014,41.0,36.0,7.0,12.0,17.0,61.0,421.0,230.0,6.0,88.0,20.0,,11.0,278.0,12.0,143.0,385.0,4984.0
KARNATAKA,DAKSHINA KANNADA,2014,30.0,25.0,,22.0,18.0,57.0,230.0,128.0,18.0,282.0,12.0,,1.0,72.0,2.0,56.0,215.0,3039.0
KARNATAKA,MYSORE,2014,24.0,41.0,9.0,40.0,6.0,73.0,542.0,72.0,10.0,227.0,,,3.0,87.0,4.0,51.0,109.0,2766.0
KARNATAKA,MYSORE,2014,52.0,41.0,5.0,45.0,5.0,28.0,496.0,266.0,8.0,87.0,18.0,,20.0,201.0,5.0,107.0,298.0,4118.0
KARNATAKA,RAICHUR,2014,53.0,55.0,6.0,19.0,3.0,10.0,209.0,306.0,11.0,132.0,9.0,,5.0,198.0,4.0,134.0,273.0,3128.0
KARNATAKA,RAMANAGAR,2014,73.0,43.0,15.0,3.0,13.0,81.0,454.0,221.0,9.0,102.0,12.0,,12.0,142.0,,60.0,,4249.0
KARNATAKA,SHIMOGA,2014,50.0,58.0,1.0,15.0,12.0,60.0,326.0,350.0,7.0,236.0,26.0,,8.0,404.0,7.0,228.0,287.0,6043.0
KARNATAKA,TUMAKURU,2014,55.0,36.0,,34.0,7.0,50.0,293.0,197.0,15.0,176.0,13.0,,15.0,242.0,8.0,87.0,554.0,4523.0
KARNATAKA,UDUPI,2014,22.0,28.0,,8.0,6.0,38.0,126.0,79.0,14.0,129.0,11.0,,3.0,111.0,1.0,57.0,205.0,2496.0
KARNATAKA,UTTARA KANNADA,2014,21.0,25.0,,3.0,4.0,29.0,111.0,103.0,9.0,108.0,13.0,,,154.0,6.0,56.0,245.0,2783.0
KARNATAKA,YADGIR,2014,31.0,41.0,18.0,4.0,2.0,13.0,68.0,122.0,1.0,26.0,4.0,,2.0,148.0,,48.0,150.0,1496.0
KARNATAKA,BELAGAVI,2014,25.0,22.0,2.0,22.0,5.0,77.0,315.0,169.0,12.0,115.0,18.0,,8.0,85.0,3.0,72.0,151.0,2396.0
KERALA,ALAPPUZHA,2014,19.0,61.0,7.0,1.0,13.0,54.0,226.0,238.0,15.0,429.0,14.0,,,245.0,10.0,261.0,305.0,11033.0
KERALA,ERNAKULAM,2014,13.0,64.0,1.0,3.0,2.0,17.0,331.0,57.0,15.0,749.0,3.0,,,158.0,18.0,166.0,114.0,17088.0
KERALA,ERNAKULAM,2014,19.0,71.0,,8.0,3.0,32.0,363.0,321.0,27.0,320.0,12.0,,,224.0,37.0,169.0,278.0,20185.0
KERALA,IDUKKI,2014,20.0,71.0,4.0,6.0,,26.0,144.0,216.0,16.0,206.0,9.0,,2.0,186.0,12.0,160.0,71.0,5264.0
KERALA,KANNUR,2014,22.0,59.0,6.0,9.0,1.0,83.0,149.0,745.0,11.0,190.0,86.0,,1.0,222.0,10.0,330.0,183.0,6716.0
KERALA,KASARGOD,2014,16.0,59.0,,6.0,6.0,32.0,161.0,422.0,11.0,223.0,44.0,,,123.0,4.0,210.0,93.0,5016.0
KERALA,KOLLAM,2014,10.0,78.0,8.0,5.0,2.0,63.0,143.0,301.0,9.0,187.0,13.0,,1.0,287.0,13.0,296.0,181.0,9314.0
KERALA,KOLLAM,2014,28.0,81.0,15.0,4.0,2.0,32.0,161.0,293.0,5.0,192.0,16.0,,2.0,240.0,7.0,276.0,123.0,7910.0
KERALA,KOTTAYAM,2014,17.0,75.0,8.0,5.0,6.0,38.0,235.0,186.0,12.0,240.0,17.0,,,204.0,19.0,182.0,199.0,17769.0
KERALA,KOZHIKODE,2014,8.0,35.0,,1.0,,52.0,282.0,220.0,34.0,259.0,9.0,,1.0,107.0,9.0,184.0,141.0,4665.0
KERALA,KOZHIKODE,2014,9.0,52.0,3.0,6.0,2.0,36.0,203.0,408.0,6.0,347.0,63.0,,,226.0,5.0,307.0,199.0,5391.0
KERALA,MALAPPURAM,2014,19.0,103.0,3.0,5.0,1.0,34.0,310.0,682.0,13.0,374.0,9.0,,1.0,346.0,10.0,590.0,319.0,18057.0
KERALA,PALAKKAD,2014,23.0,88.0,4.0,9.0,5.0,52.0,308.0,473.0,64.0,410.0,31.0,,7.0,182.0,12.0,450.0,272.0,14780.0
KERALA,PATHANAMTHITTA,2014,11.0,63.0,11.0,2.0,6.0,41.0,228.0,89.0,9.0,274.0,19.0,,,163.0,8.0,118.0,98.0,8533.0
KERALA,KERALA_GRP,2014,3.0,,,2.0,,12.0,299.0,7.0,,2.0,,,,74.0,10.0,,,508.0
KERALA,THRISSUR,2014,17.0,38.0,,8.0,5.0,34.0,165.0,98.0,14.0,362.0,12.0,,,109.0,11.0,130.0,100.0,6548.0
KERALA,THRISSUR,2014,24.0,94.0,6.0,4.0,1.0,68.0,263.0,278.0,9.0,467.0,47.0,,2.0,298.0,22.0,468.0,261.0,20117.0
KERALA,THIRUVANANTHAPURAM,2014,13.0,56.0,3.0,1.0,1.0,59.0,325.0,226.0,19.0,294.0,10.0,,2.0,254.0,15.0,134.0,125.0,12504.0
KERALA,THIRUVANANTHAPURAM,2014,45.0,122.0,10.0,,11.0,83.0,338.0,416.0,8.0,361.0,29.0,,6.0,581.0,22.0,387.0,250.0,12024.0
KERALA,WAYANAD,2014,9.0,75.0,,3.0,2.0,21.0,64.0,143.0,9.0,169.0,8.0,,,134.0,3.0,99.0,64.0,3182.0
KERALA,NORTH WEST DELHI,2014,22.0,2.0,,,2.0,,2.0,1.0,60.0,36.0,2.0,,3.0,4.0,,2.0,5.0,185.0
MADHYA PRADESH,AGAR MALWA,2014,5.0,28.0,3.0,2.0,,5.0,142.0,20.0,1.0,7.0,12.0,,2.0,56.0,8.0,44.0,65.0,1652.0
MADHYA PRADESH,ALIRAJPUR,2014,46.0,17.0,15.0,2.0,4.0,10.0,94.0,9.0,,5.0,10.0,,,15.0,,10.0,86.0,1161.0
MADHYA PRADESH,ANUPPUR,2014,35.0,70.0,28.0,2.0,1.0,23.0,187.0,24.0,6.0,22.0,7.0,,7.0,121.0,,114.0,66.0,2666.0
MADHYA PRADESH,ASHOK NAGAR,2014,29.0,76.0,,,1.0,15.0,125.0,26.0,10.0,11.0,13.0,,12.0,171.0,1.0,82.0,100.0,3366.0
MADHYA PRADESH,BALAGHAT,2014,60.0,131.0,8.0,,1.0,16.0,136.0,41.0,14.0,40.0,18.0,,12.0,178.0,3.0,107.0,152.0,3507.0
MADHYA PRADESH,BARWANI,2014,44.0,68.0,12.0,1.0,1.0,7.0,222.0,22.0,4.0,7.0,13.0,,4.0,92.0,4.0,16.0,154.0,2857.0
MADHYA PRADESH,BETUL,2014,63.0,164.0,152.0,39.0,,19.0,339.0,2.0,16.0,40.0,16.0,,9.0,417.0,27.0,379.0,191.0,6822.0
MADHYA PRADESH,BHIND,2014,62.0,78.0,39.0,,6.0,92.0,418.0,71.0,18.0,51.0,13.0,,30.0,142.0,,86.0,215.0,4870.0
MADHYA PRADESH,BHOPAL,2014,83.0,223.0,294.0,72.0,9.0,113.0,3010.0,62.0,23.0,190.0,22.0,,20.0,343.0,18.0,348.0,234.0,16094.0
MADHYA PRADESH,BHOPAL,2014,4.0,3.0,14.0,11.0,1.0,20.0,1670.0,4.0,2.0,5.0,,,,19.0,1.0,4.0,,2067.0
MADHYA PRADESH,BURHANPUR,2014,20.0,46.0,,24.0,3.0,5.0,121.0,8.0,5.0,21.0,2.0,,5.0,90.0,5.0,48.0,73.0,1958.0
MADHYA PRADESH,CHHATARPUR,2014,44.0,78.0,,,,35.0,217.0,28.0,7.0,35.0,16.0,,22.0,232.0,,74.0,182.0,4463.0
MADHYA PRADESH,CHHINDWARA,2014,73.0,205.0,,,1.0,13.0,289.0,42.0,19.0,48.0,22.0,,9.0,241.0,36.0,185.0,300.0,6149.0
MADHYA PRADESH,DAMOH,2014,33.0,46.0,,,,11.0,112.0,10.0,3.0,16.0,7.0,,31.0,137.0,,68.0,119.0,2702.0
MADHYA PRADESH,DATIA,2014,42.0,34.0,,,3.0,48.0,145.0,17.0,9.0,23.0,13.0,,14.0,88.0,,57.0,86.0,2783.0
MADHYA PRADESH,DEWAS,2014,64.0,121.0,30.0,45.0,,14.0,511.0,48.0,9.0,43.0,13.0,,10.0,216.0,7.0,145.0,187.0,7426.0
MADHYA PRADESH,DHAR,2014,51.0,138.0,265.0,76.0,5.0,76.0,857.0,65.0,24.0,38.0,34.0,,15.0,244.0,16.0,85.0,337.0,7479.0
MADHYA PRADESH,DINDORI,2014,24.0,91.0,26.0,4.0,,5.0,83.0,11.0,,14.0,11.0,,4.0,162.0,2.0,119.0,73.0,3851.0
MADHYA PRADESH,GUNA,2014,46.0,123.0,,,4.0,34.0,409.0,52.0,14.0,31.0,23.0,,12.0,168.0,8.0,92.0,160.0,4539.0
MADHYA PRADESH,GWALIOR,2014,78.0,158.0,40.0,106.0,7.0,99.0,1821.0,108.0,56.0,143.0,18.0,,36.0,364.0,21.0,441.0,228.0,12958.0
MADHYA PRADESH,HARDA,2014,12.0,47.0,,,,8.0,80.0,10.0,1.0,6.0,3.0,,5.0,82.0,2.0,28.0,80.0,2016.0
MADHYA PRADESH,HOSHANGABAD,2014,59.0,102.0,29.0,,3.0,42.0,416.0,38.0,12.0,26.0,19.0,,6.0,183.0,12.0,121.0,136.0,4870.0
MADHYA PRADESH,INDORE,2014,115.0,261.0,54.0,29.0,3.0,317.0,6530.0,82.0,36.0,177.0,49.0,,37.0,411.0,34.0,254.0,629.0,23992.0
MADHYA PRADESH,INDORE,2014,1.0,4.0,,5.0,2.0,4.0,434.0,,,,,,,9.0,,,,552.0
MADHYA PRADESH,JABALPUR,2014,92.0,194.0,131.0,211.0,2.0,137.0,1025.0,69.0,11.0,115.0,7.0,,34.0,374.0,43.0,315.0,322.0,12918.0
MADHYA PRADESH,JABALPUR,2014,3.0,4.0,,15.0,1.0,37.0,909.0,1.0,,1.0,,,,21.0,2.0,,1.0,1159.0
MADHYA PRADESH,JHABUA,2014,33.0,52.0,87.0,15.0,2.0,45.0,196.0,29.0,4.0,29.0,19.0,,,98.0,,22.0,92.0,2990.0
MADHYA PRADESH,KATNI,2014,35.0,93.0,2.0,72.0,1.0,15.0,161.0,8.0,7.0,35.0,12.0,,18.0,178.0,4.0,65.0,271.0,3670.0
MADHYA PRADESH,KHANDWA,2014,31.0,84.0,100.0,26.0,3.0,17.0,357.0,39.0,11.0,53.0,26.0,,6.0,270.0,17.0,103.0,122.0,4011.0
MADHYA PRADESH,KHARGONE,2014,42.0,118.0,,126.0,,18.0,425.0,23.0,6.0,27.0,12.0,,43.0,247.0,,74.0,310.0,4533.0
MADHYA PRADESH,MANDLA,2014,36.0,64.0,,141.0,,5.0,57.0,6.0,1.0,22.0,4.0,,6.0,99.0,1.0,76.0,97.0,2220.0
